mean_test_score,std_test_score,params
,,"{'clf__C': 0.001, 'clf__penalty': 'l1', 'selector__k': 3}"
,,"{'clf__C': 0.001, 'clf__penalty': 'l1', 'selector__k': 4}"
,,"{'clf__C': 0.001, 'clf__penalty': 'l1', 'selector__k': 5}"
,,"{'clf__C': 0.001, 'clf__penalty': 'l1', 'selector__k': 6}"
,,"{'clf__C': 0.001, 'clf__penalty': 'l2', 'selector__k': 3}"
,,"{'clf__C': 0.001, 'clf__penalty': 'l2', 'selector__k': 4}"
,,"{'clf__C': 0.001, 'clf__penalty': 'l2', 'selector__k': 5}"
,,"{'clf__C': 0.001, 'clf__penalty': 'l2', 'selector__k': 6}"
,,"{'clf__C': 0.01, 'clf__penalty': 'l1', 'selector__k': 3}"
,,"{'clf__C': 0.01, 'clf__penalty': 'l1', 'selector__k': 4}"
,,"{'clf__C': 0.01, 'clf__penalty': 'l1', 'selector__k': 5}"
,,"{'clf__C': 0.01, 'clf__penalty': 'l1', 'selector__k': 6}"
,,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'selector__k': 3}"
,,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'selector__k': 4}"
,,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'selector__k': 5}"
,,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'selector__k': 6}"
,,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'selector__k': 3}"
,,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'selector__k': 4}"
,,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'selector__k': 5}"
,,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'selector__k': 6}"
,,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'selector__k': 3}"
,,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'selector__k': 4}"
,,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'selector__k': 5}"
,,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'selector__k': 6}"
,,"{'clf__C': 1, 'clf__penalty': 'l1', 'selector__k': 3}"
,,"{'clf__C': 1, 'clf__penalty': 'l1', 'selector__k': 4}"
,,"{'clf__C': 1, 'clf__penalty': 'l1', 'selector__k': 5}"
,,"{'clf__C': 1, 'clf__penalty': 'l1', 'selector__k': 6}"
,,"{'clf__C': 1, 'clf__penalty': 'l2', 'selector__k': 3}"
,,"{'clf__C': 1, 'clf__penalty': 'l2', 'selector__k': 4}"
,,"{'clf__C': 1, 'clf__penalty': 'l2', 'selector__k': 5}"
,,"{'clf__C': 1, 'clf__penalty': 'l2', 'selector__k': 6}"
,,"{'clf__C': 10, 'clf__penalty': 'l1', 'selector__k': 3}"
,,"{'clf__C': 10, 'clf__penalty': 'l1', 'selector__k': 4}"
,,"{'clf__C': 10, 'clf__penalty': 'l1', 'selector__k': 5}"
,,"{'clf__C': 10, 'clf__penalty': 'l1', 'selector__k': 6}"
,,"{'clf__C': 10, 'clf__penalty': 'l2', 'selector__k': 3}"
,,"{'clf__C': 10, 'clf__penalty': 'l2', 'selector__k': 4}"
,,"{'clf__C': 10, 'clf__penalty': 'l2', 'selector__k': 5}"
,,"{'clf__C': 10, 'clf__penalty': 'l2', 'selector__k': 6}"
,,"{'clf__C': 100, 'clf__penalty': 'l1', 'selector__k': 3}"
,,"{'clf__C': 100, 'clf__penalty': 'l1', 'selector__k': 4}"
,,"{'clf__C': 100, 'clf__penalty': 'l1', 'selector__k': 5}"
,,"{'clf__C': 100, 'clf__penalty': 'l1', 'selector__k': 6}"
,,"{'clf__C': 100, 'clf__penalty': 'l2', 'selector__k': 3}"
,,"{'clf__C': 100, 'clf__penalty': 'l2', 'selector__k': 4}"
,,"{'clf__C': 100, 'clf__penalty': 'l2', 'selector__k': 5}"
,,"{'clf__C': 100, 'clf__penalty': 'l2', 'selector__k': 6}"
