player,status,pitches_collected,games_collected,unique_game_dates
Tarik Skubal,success,1941,21,21
Garrett Crochet,success,2186,22,22
Paul Skenes,success,2086,22,22
Zack Wheeler,success,2116,21,21
Framber Valdez,success,1969,21,21
Logan Webb,success,2221,23,23
Cristopher Sanchez,success,1915,21,21
Hunter Brown,success,2097,22,22
Kris Bubic,success,1799,20,20
Max Fried,success,2124,22,22
Yoshinobu Yamamoto,success,1906,21,21
Jesus Luzardo,success,2059,22,22
Nick Pivetta,success,1949,22,22
Joe Ryan,success,2004,22,22
Matthew Boyd,success,1873,21,21
Jacob deGrom,success,1817,21,21
Sonny Gray,success,1817,22,22
Jose Soriano,success,2141,23,23
Mitch Keller,success,2015,22,22
MacKenzie Gore,success,2136,22,22
David Peterson,success,1971,21,21
Merrill Kelly,success,2008,22,22
Nick Lodolo,success,2009,22,22
Luis Castillo,success,2099,22,22
Spencer Schwellenbach,success,1577,17,17
Freddy Peralta,success,2187,23,23
Bryan Woo,success,1902,21,21
Michael Wacha,success,1939,22,22
Dylan Cease,success,2101,22,22
Kevin Gausman,success,2089,22,22
Carlos Rodon,success,2239,23,23
Luis Severino,success,2222,23,23
Yusei Kikuchi,success,2225,23,23
Nick Martinez,success,1965,24,24
Dean Kremer,success,2015,22,22
Will Warren,success,1951,23,23
Chris Bassitt,success,2024,23,23
Robbie Ray,success,2199,23,23
Taj Bradley,success,1788,21,21
Chris Paddack,success,1939,22,22
Jose Berrios,success,1988,23,23
Ryan Pepiot,success,2076,23,23
Shane Baz,success,2036,22,22
Mitchell Parker,success,1918,22,22
Jeffrey Springs,success,2073,23,23
Clay Holmes,success,1973,22,22
Seth Lugo,success,1850,20,20
Logan Allen,success,1861,21,21
Tanner Bibee,success,2001,21,21
Zack Littell,success,1929,22,22
Brayan Bello,success,1784,19,19
Andre Pallante,success,1867,21,21
Grant Holmes,success,1970,22,22
JP Sears,success,1936,22,22
Gavin Williams,success,2049,22,22
Sandy Alcantara,success,1891,21,21
Brandon Pfaadt,success,1944,22,22
Bailey Falter,success,1699,22,22
Tyler Anderson,success,2002,22,22
Jake Irvin,success,2020,22,22
Tomoyuki Sugano,success,1762,20,20
Zac Gallen,success,2068,22,22
