player,season,total_games,valid_sequences,nan_targets,nan_features,update_date
Andre Pallante,2025,21,16,0,0,20250801
Bailey Falter,2025,22,17,0,0,20250801
Brandon Pfaadt,2025,22,17,0,0,20250801
Brayan Bello,2025,19,14,0,0,20250801
Bryan Woo,2025,21,16,0,0,20250801
Carlos Rodon,2025,23,18,0,0,20250801
Chris Bassitt,2025,23,18,0,0,20250801
Chris Paddack,2025,22,17,0,0,20250801
Clay Holmes,2025,22,17,0,0,20250801
Cristopher Sanchez,2025,21,16,0,0,20250801
David Peterson,2025,21,16,0,0,20250801
Dean Kremer,2025,22,17,0,0,20250801
Dylan Cease,2025,22,17,0,0,20250801
Framber Valdez,2025,21,16,0,0,20250801
Freddy Peralta,2025,23,18,0,0,20250801
Garrett Crochet,2025,22,17,0,0,20250801
Gavin Williams,2025,22,17,0,0,20250801
Grant Holmes,2025,22,17,0,0,20250801
Hunter Brown,2025,22,17,0,0,20250801
JP Sears,2025,22,17,0,0,20250801
Jacob deGrom,2025,21,16,0,0,20250801
Jake Irvin,2025,22,17,0,0,20250801
Jeffrey Springs,2025,23,18,0,0,20250801
Jesus Luzardo,2025,22,17,0,0,20250801
Joe Ryan,2025,22,17,0,0,20250801
Jose Berrios,2025,23,18,0,0,20250801
Jose Soriano,2025,23,18,0,0,20250801
Kevin Gausman,2025,22,17,0,0,20250801
Kris Bubic,2025,20,15,0,0,20250801
Logan Allen,2025,21,16,0,0,20250801
Logan Webb,2025,23,18,0,0,20250801
Luis Castillo,2025,22,17,0,0,20250801
Luis Severino,2025,23,18,0,0,20250801
MacKenzie Gore,2025,22,17,0,0,20250801
Matthew Boyd,2025,21,16,0,0,20250801
Max Fried,2025,22,17,0,0,20250801
Merrill Kelly,2025,22,17,0,0,20250801
Michael Wacha,2025,22,17,0,0,20250801
Mitch Keller,2025,22,17,0,0,20250801
Mitchell Parker,2025,22,17,0,0,20250801
Nick Lodolo,2025,22,17,0,0,20250801
Nick Martinez,2025,24,19,0,0,20250801
Nick Pivetta,2025,22,17,0,0,20250801
Paul Skenes,2025,22,17,0,0,20250801
Robbie Ray,2025,23,18,0,0,20250801
Ryan Pepiot,2025,23,18,0,0,20250801
Sandy Alcantara,2025,21,16,0,0,20250801
Seth Lugo,2025,20,15,0,0,20250801
Shane Baz,2025,22,17,0,0,20250801
Sonny Gray,2025,22,17,0,0,20250801
Spencer Schwellenbach,2025,17,12,0,0,20250801
Taj Bradley,2025,21,16,0,0,20250801
Tanner Bibee,2025,21,16,0,0,20250801
Tarik Skubal,2025,21,16,0,0,20250801
Tomoyuki Sugano,2025,20,15,0,0,20250801
Tyler Anderson,2025,22,17,0,0,20250801
Will Warren,2025,23,18,0,0,20250801
Yoshinobu Yamamoto,2025,21,16,0,0,20250801
Yusei Kikuchi,2025,23,18,0,0,20250801
Zac Gallen,2025,22,17,0,0,20250801
Zack Littell,2025,22,17,0,0,20250801
Zack Wheeler,2025,21,16,0,0,20250801
